policy,date,J_plan,J_emerg,J,e_kWh
alpha0.85,2025-02-01,24688.79187256685,642.4853230047563,25331.277195571605,131.80914096474305
alpha0.85,2025-02-02,59278.86076772014,108.58332765624908,59387.44409537639,30.85222916666646
alpha0.85,2025-02-03,58256.42502665223,327.46498653970957,58583.890013191936,89.54351192847562
alpha0.85,2025-02-04,58534.40298699528,1609.738142587361,60144.14112958264,436.4465163719323
alpha0.85,2025-02-05,58196.946687705255,617.909108384158,58814.85579608941,169.8634168154395
alpha0.85,2025-02-06,58908.349243583565,170.21256047448193,59078.561804058045,50.437116891377855
alpha0.85,2025-02-07,23845.7116343029,316.29312988801706,24162.00476419092,56.46558593052433
alpha0.85,2025-02-08,21814.2097442624,1543.7084660050086,23357.91821026741,305.8172545198757
alpha0.85,2025-02-09,55120.676895822726,2716.372635790815,57837.04953161354,844.9373246254003
alpha0.85,2025-02-10,55843.773125121494,321.9139985150915,56165.687123636584,86.67579222324483
alpha0.85,2025-02-11,54160.645275314244,602.0918178047691,54762.737093119016,108.3566461112469
alpha0.85,2025-02-12,53770.996303621694,875.8448232380047,54646.8411268597,204.8784083481614
alpha0.85,2025-02-13,53453.04149246914,811.9277844046297,54264.96927687377,171.11745014507625
alpha0.85,2025-02-14,19834.764639983998,3311.259131600916,23146.023771584914,993.1248901658687
alpha0.85,2025-02-15,19590.102989052313,2027.2379919021967,21617.34098095451,597.471341597399
alpha0.85,2025-02-16,51529.777223903875,2763.3585256125,54293.135749516376,662.823641465392
alpha0.85,2025-02-17,51310.03357429773,814.1942379892591,52124.22781228699,191.65337267140228
alpha0.85,2025-02-18,50751.05342878008,1129.563422716954,51880.616851497034,279.3632406164276
alpha0.85,2025-02-19,50361.01022744061,2666.3268478205473,53027.33707526116,760.1589748694769
alpha0.85,2025-02-20,50043.827292308764,1480.1617472905077,51523.98903959927,335.6390181099904
alpha0.85,2025-02-21,18949.365672026815,938.2366238530357,19887.60229587985,281.33297647441634
alpha0.85,2025-02-22,18797.094604224287,3002.729513686123,21799.824117910408,731.6328161604658
alpha0.85,2025-02-23,49365.86293173736,1985.9797226118883,51351.84265434925,604.9974954431091
alpha0.85,2025-02-24,48796.77995689045,1386.3626769365476,50183.142633827,322.8009153419418
alpha0.85,2025-02-25,48511.98729288703,983.7613318800197,49495.74862476705,278.21941068679973
alpha0.85,2025-02-26,47589.065905806485,3018.6277064640362,50607.69361227052,740.2971945576436
alpha0.85,2025-02-27,47045.24109938197,2964.9755289957334,50010.216628377704,607.7202987027297
alpha0.85,2025-02-28,18136.191056199485,2773.439209385131,20909.630265584616,755.0295074652264
alpha0.85,2025-03-01,18062.559527147332,2679.106579974292,20741.666107121622,668.2676808907227
alpha0.85,2025-03-02,47094.809106395885,14672.13454279121,61766.943649187095,3906.210830045295
alpha0.85,2025-03-03,48088.21025524028,7558.772608476345,55646.98286371662,1798.604501894548
alpha0.85,2025-03-04,49423.935874370974,891.0956536470751,50315.03152801805,275.1015457324513
alpha0.85,2025-03-05,49491.13341361366,585.2814089013572,50076.41482251501,127.70682582408527
alpha0.85,2025-03-06,48943.380217701386,588.6648249918586,49532.045042693244,200.2574601844602
alpha0.85,2025-03-07,17882.58943434498,425.1720075771964,18307.761441922175,131.52954402960452
alpha0.85,2025-03-08,17292.12314051989,743.6116591139102,18035.7347996338,222.29179309441412
alpha0.85,2025-03-09,46208.16832578969,933.2627573327393,47141.43108312243,224.8292257145937
alpha0.85,2025-03-10,45268.1639075634,6337.815575872518,51605.97948343592,2050.5560044821327
alpha0.85,2025-03-11,45465.402130943505,1586.608971242014,47052.01110218552,412.68025992969524
alpha0.85,2025-03-12,45148.598317171374,1111.5779530036868,46260.17627017506,340.6781323578944
alpha0.85,2025-03-13,44226.19147691102,10794.117095381107,55020.30857229213,2760.7031593602605
alpha0.85,2025-03-14,16654.562107880796,1952.9725289248745,18607.53463680567,462.3726726016696
alpha0.85,2025-03-15,16753.635153870997,2687.022723391522,19440.657877262518,843.4143949789376
alpha0.85,2025-03-16,44429.08864108329,2559.1310283883568,46988.21966947165,636.0230246463086
alpha0.85,2025-03-17,44208.242302618346,690.5185787707674,44898.76088138911,137.95123110069363
alpha0.85,2025-03-18,42781.74284116633,3802.5780870407625,46584.32092820709,806.1408660664547
alpha0.85,2025-03-19,43020.192257525865,1211.066712176271,44231.25896970214,237.98643779029595
alpha0.85,2025-03-20,42899.024329105734,2014.2312319543714,44913.255561060105,544.7613888422143
alpha0.85,2025-03-21,16205.789537502034,1105.090141355577,17310.87967885761,366.83499967080576
alpha0.85,2025-03-22,16521.976037412227,1499.2348378418478,18021.210875254073,392.91189360504217
alpha0.85,2025-03-23,41720.995418354985,1859.1848286857328,43580.18024704072,513.2798003410346
alpha0.85,2025-03-24,41209.161636539175,2107.9718916715074,43317.13352821068,617.4203984264328
alpha0.85,2025-03-25,40791.44893258873,5551.594477483397,46343.04341007213,1437.8918962382772
alpha0.85,2025-03-26,41072.590564475584,903.2664012914381,41975.85696576702,277.14880372108826
alpha0.85,2025-03-27,40667.45641629509,2574.3085288702146,43241.764945165305,697.8282337204913
alpha0.85,2025-03-28,15799.393690686244,1267.9485336020716,17067.342224288317,345.6048699825363
alpha0.85,2025-03-29,15578.850345242696,582.9300001850896,16161.780345427786,149.87887883833292
alpha0.85,2025-03-30,39162.53768632761,2666.550040213938,41829.08772654155,629.2948919033646
alpha0.85,2025-03-31,38383.49319577946,8047.177082141045,46430.67027792051,2001.1095548417384
alpha0.85,2025-04-01,38840.6373081573,8728.27630838025,47568.913616537546,3065.1787553163053
alpha0.85,2025-04-02,39189.21535789489,12228.936129584135,51418.15148747903,2781.1332996588803
alpha0.85,2025-04-03,40067.37069332224,2185.7697774663143,42253.14047078856,545.7660137482795
alpha0.85,2025-04-04,15191.08208655493,1065.221984974086,16256.304071529015,266.8292861150398
alpha0.85,2025-04-05,15326.639118940668,4061.0560114934337,19387.695130434102,969.1986453576293
alpha0.85,2025-04-06,39386.11093592647,951.288106371736,40337.3990422982,236.6296009799757
alpha0.85,2025-04-07,38708.10682066868,1384.6799379959234,40092.78675866461,428.4984092427527
alpha0.85,2025-04-08,38660.36947301708,3631.335864217101,42291.70533723418,769.3688810883957
alpha0.85,2025-04-09,38537.6009434357,6959.691563279134,45497.29250671483,1941.4696226917422
alpha0.85,2025-04-10,39151.29800887629,2441.0551216709346,41592.35313054723,547.8728410712766
alpha0.85,2025-04-11,14833.78922766892,1510.4921234289504,16344.28135109787,369.5285234139367
alpha0.85,2025-04-12,15049.516497177312,1114.1766842224597,16163.693181399773,348.05330357817394
alpha0.85,2025-04-13,37668.94070373226,2114.4326549948755,39783.373358727134,463.1909710440284
alpha0.85,2025-04-14,37395.08314171895,1701.2587277506527,39096.3418694696,408.64038565859335
alpha0.85,2025-04-15,37681.652345570925,1089.2617606239583,38770.91410619488,231.14552083936303
alpha0.85,2025-04-16,37104.51691187431,4540.282279056754,41644.79919093106,1196.285781678227
alpha0.85,2025-04-17,37472.65892255517,813.7654425036463,38286.42436505882,193.12857341357204
alpha0.85,2025-04-18,14601.661424094313,790.3986524415348,15392.060076535847,241.03727758789643
alpha0.85,2025-04-19,14308.97232059395,899.4601071151675,15208.432427709118,264.465917215438
alpha0.85,2025-04-20,36941.777515135094,2035.9116952993463,38977.689210434444,509.8178989070731
alpha0.85,2025-04-21,37067.20885953015,831.1610042951372,37898.36986382528,271.41257908257785
alpha0.85,2025-04-22,36149.28850568044,2386.396270519486,38535.68477619992,738.5781786156132
alpha0.85,2025-04-23,36362.899705703705,1043.0831951555572,37405.982900859264,309.5899108432476
alpha0.85,2025-04-24,36094.65311324426,515.1364297552833,36609.78954299955,107.27264576392845
alpha0.85,2025-04-25,13595.550423055189,602.3247657013475,14197.875188756536,180.27212980743303
alpha0.85,2025-04-26,13581.886005475466,2443.4527032148444,16025.33870869031,616.6465544809566
alpha0.85,2025-04-27,33952.697546115334,4540.882635782058,38493.58018189739,1013.6154717801471
