time,price_yuan_kWh
00:00,0.4248
00:10,0.4245
00:20,0.4269
00:30,0.4272
00:40,0.4271
00:50,0.4285
01:00,0.4311
01:10,0.4302
01:20,0.4279
01:30,0.4312
01:40,0.4333
01:50,0.4311
02:00,0.4293
02:10,0.4324
02:20,0.4367
02:30,0.4348
02:40,0.4335
02:50,0.4357
03:00,0.4374
03:10,0.4371
03:20,0.4356
03:30,0.4353
03:40,0.4360
03:50,0.4378
04:00,0.4401
04:10,0.4389
04:20,0.4364
04:30,0.4393
04:40,0.4422
04:50,0.4395
05:00,0.4333
05:10,0.4439
05:20,0.4301
05:30,0.3713
05:40,0.5708
05:50,0.9099
06:00,0.9368
06:10,0.8758
06:20,0.8759
06:30,0.8601
06:40,0.8442
06:50,0.8334
07:00,0.8092
07:10,0.7972
07:20,0.7644
07:30,0.6899
07:40,0.8600
07:50,1.1617
08:00,1.1683
08:10,1.0956
08:20,1.0849
08:30,1.0610
08:40,1.0430
08:50,1.0360
09:00,1.0147
09:10,0.9922
09:20,0.9700
09:30,0.9422
09:40,0.9569
09:50,0.9977
10:00,0.9919
10:10,0.9588
10:20,0.9549
10:30,0.9839
10:40,0.7990
10:50,0.5025
11:00,0.4662
11:10,0.5007
11:20,0.4827
11:30,0.4785
11:40,0.4662
11:50,0.4432
12:00,0.4411
12:10,0.4551
12:20,0.4463
12:30,0.4113
12:40,0.5682
12:50,0.8279
13:00,0.8636
13:10,0.8416
13:20,0.8618
13:30,0.8623
13:40,0.9026
13:50,0.9754
14:00,1.0002
14:10,0.9978
14:20,1.0271
14:30,1.0906
14:40,0.9376
14:50,0.6694
15:00,0.6600
15:10,0.7217
15:20,0.7308
15:30,0.7534
15:40,0.7823
15:50,0.8055
16:00,0.8271
16:10,0.8519
16:20,0.8791
16:30,0.9024
16:40,0.9163
16:50,0.9264
17:00,0.9462
17:10,0.9742
17:20,0.9862
17:30,0.9760
17:40,1.0742
17:50,1.2313
18:00,1.2561
18:10,1.2447
18:20,1.2545
18:30,1.2522
18:40,1.2881
18:50,1.3466
19:00,1.3523
19:10,1.3445
19:20,1.3483
19:30,1.3490
19:40,1.3473
19:50,1.3482
20:00,1.3513
20:10,1.3400
20:20,1.3489
20:30,1.3952
20:40,1.2226
20:50,0.9332
21:00,0.9068
21:10,0.9371
21:20,0.9371
21:30,0.9871
21:40,0.7764
21:50,0.4209
22:00,0.3859
22:10,0.4368
22:20,0.4198
22:30,0.4186
22:40,0.4241
22:50,0.4237
23:00,0.4248
23:10,0.4240
23:20,0.4220
23:30,0.4240
23:40,0.4271
23:50,0.4276
